               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.011792,            0.037705,           0.0017774,             0.96921,             0.96429,             0.98925,             0.91597,            0.008447,            0.022314,            0.005657,            0.005446,            0.005446,            0.005446
                  48,            0.011838,            0.036873,           0.0017282,             0.95613,             0.96065,             0.98243,             0.90847,           0.0086194,            0.022196,           0.0075723,            0.005347,            0.005347,            0.005347
                  49,            0.011712,            0.037049,            0.001757,             0.96789,             0.96728,             0.99039,             0.91815,           0.0084309,            0.022327,           0.0068533,            0.005248,            0.005248,            0.005248
                  50,            0.011405,             0.03604,           0.0016701,             0.96242,             0.96841,             0.98834,             0.89769,           0.0088341,            0.023508,           0.0067181,            0.005149,            0.005149,            0.005149
                  51,            0.011285,            0.036157,           0.0017057,             0.95922,             0.96479,             0.98758,             0.90276,           0.0088602,            0.022322,           0.0066554,             0.00505,             0.00505,             0.00505
                  52,            0.011295,            0.035814,           0.0016938,             0.96744,             0.96802,             0.99095,              0.9081,           0.0085269,            0.021519,           0.0057011,            0.004951,            0.004951,            0.004951
                  53,            0.010989,            0.035118,            0.001685,             0.96809,             0.96966,             0.98948,             0.90987,           0.0086392,            0.023863,           0.0060933,            0.004852,            0.004852,            0.004852
                  54,            0.010853,            0.034963,            0.001661,             0.96437,              0.9687,             0.99124,             0.90615,            0.008353,            0.021523,           0.0058533,            0.004753,            0.004753,            0.004753
                  55,            0.010795,            0.035484,           0.0016868,             0.97354,             0.97081,             0.99189,              0.9167,           0.0082939,            0.022331,           0.0047768,            0.004654,            0.004654,            0.004654
                  56,            0.010711,             0.03507,           0.0016229,             0.97858,             0.97499,             0.99104,             0.91547,           0.0085309,            0.023111,           0.0057179,            0.004555,            0.004555,            0.004555
                  57,            0.010712,            0.034701,           0.0015587,             0.96575,              0.9635,             0.98863,             0.90665,           0.0086355,            0.023417,           0.0059471,            0.004456,            0.004456,            0.004456
                  58,            0.010384,            0.034156,           0.0015767,             0.96437,             0.96934,             0.98995,             0.91432,            0.008433,            0.024124,           0.0060973,            0.004357,            0.004357,            0.004357
                  59,            0.010458,            0.034052,           0.0015118,             0.96629,             0.96891,             0.98775,             0.91426,           0.0082032,            0.022667,            0.005879,            0.004258,            0.004258,            0.004258
                  60,            0.010199,            0.033555,            0.001512,             0.96177,             0.97414,             0.98727,             0.92027,           0.0084185,            0.022953,           0.0054848,            0.004159,            0.004159,            0.004159
                  61,            0.010174,            0.033112,           0.0015192,             0.97545,             0.97054,             0.99136,             0.91786,           0.0084087,            0.023682,           0.0057578,             0.00406,             0.00406,             0.00406
                  62,           0.0099661,               0.033,            0.001482,             0.96784,             0.97449,             0.98872,             0.91503,           0.0086208,            0.024618,           0.0063998,            0.003961,            0.003961,            0.003961
                  63,           0.0096251,            0.032478,           0.0014845,              0.9731,             0.97475,             0.98987,             0.91769,           0.0083314,            0.023741,            0.006267,            0.003862,            0.003862,            0.003862
                  64,           0.0095147,            0.031754,           0.0014707,             0.96873,               0.969,             0.98981,             0.92051,           0.0081985,            0.024004,           0.0064264,            0.003763,            0.003763,            0.003763
                  65,            0.009435,            0.031381,           0.0014285,             0.96704,             0.96929,             0.98924,             0.90979,           0.0081771,            0.023409,           0.0056477,            0.003664,            0.003664,            0.003664
                  66,           0.0094088,            0.031344,           0.0014475,             0.96847,             0.97218,             0.98857,             0.90946,           0.0083973,            0.024588,           0.0060739,            0.003565,            0.003565,            0.003565
                  67,           0.0092919,            0.031499,           0.0014212,             0.96747,             0.97223,             0.98923,             0.91007,           0.0083851,            0.025541,           0.0062368,            0.003466,            0.003466,            0.003466
                  68,             0.00924,            0.031017,           0.0014096,             0.96147,             0.96931,             0.98902,              0.9142,           0.0082288,            0.022953,           0.0063252,            0.003367,            0.003367,            0.003367
                  69,           0.0089845,            0.030239,           0.0014087,             0.97634,             0.97271,             0.99103,             0.91092,           0.0083818,            0.024523,            0.005429,            0.003268,            0.003268,            0.003268
                  70,           0.0090789,            0.030628,           0.0013544,             0.95758,             0.96871,             0.98637,             0.90689,           0.0085116,            0.025097,           0.0072245,            0.003169,            0.003169,            0.003169
                  71,           0.0087238,            0.029727,           0.0013541,             0.96748,             0.97007,             0.98922,             0.92355,           0.0081454,            0.024038,           0.0060325,             0.00307,             0.00307,             0.00307
                  72,           0.0086285,            0.029528,           0.0013086,             0.96905,             0.97266,             0.99056,             0.91895,           0.0083857,             0.02507,           0.0055732,            0.002971,            0.002971,            0.002971
